3538,1987,1339,2614,3357,2539
180,67,33,325,4028,4143
4499,195,624,2468,5712,4099
4265,3940,1732,3176,2363,27
587,1720,2767,1023,4926,1730
1706,2056,5484,2338,1533,7457
694,1024,234,2075,829,503
5010,4635,3175,5406,340,118
1987,4099,2539,33,4028,27
195,325,1339,1720,624,4265
1533,4143,3176,5712,4926,7457
4499,2767,2468,5484,694,829
118,2075,3357,1730,5406,67
4635,340,234,2614,2056,3175
3940,2363,1706,3538,1023,180
1024,587,503,1732,5010,2338
4265,1533,4028,2539,4143,2468
27,5484,2075,3357,1339,5712
5406,325,1987,2056,195,1730
118,1023,33,4926,2614,829
67,3940,7457,3175,2767,1024
1706,4499,587,340,1720,2363
503,234,1732,4099,3538,4635
3176,694,2338,5010,180,624
27,2539,5406,325,2468,1023
2767,4926,1533,1987,2075,3175
118,5712,4028,1339,1024,2363
829,2056,4143,4099,1732,1706
340,180,2614,624,5484,503
3940,33,3357,2338,1720,195
4635,67,694,587,7457,4265
3176,5010,1730,234,4499,3538
4143,1732,1339,2056,2767,325
624,5406,4926,5484,2363,180
1023,3940,340,33,1533,4099
694,2468,118,1987,7457,1720
234,3176,2614,67,587,3357
5010,829,27,4028,195,4635
1706,3175,3538,2075,4265,1024
5712,1730,4499,2539,503,2338
340,5484,325,3940,118,1987
694,4099,4143,5406,3357,1533
2468,180,7457,1339,234,1023
195,3538,2075,2056,4028,587
1024,1730,1720,4635,27,624
4926,67,2338,4499,2539,1732
503,3175,2363,829,33,3176
4265,2614,5712,2767,1706,5010
4143,3538,5484,195,1023,694
7457,2075,340,1730,27,180
3357,1987,2056,587,624,3940
4099,4499,503,3175,1339,118
1720,5712,5406,4028,1732,2614
67,5010,1024,2363,2468,1533
2539,33,2767,3176,1706,4635
2338,234,829,4265,325,4926
27,118,587,624,4143,3175
1732,5712,1023,340,1987,694
180,1533,2056,1024,2614,4499
1720,5484,3176,2075,67,4099
1730,3538,325,2468,4635,33
7457,829,3357,3940,2539,5010
503,4028,4926,195,4265,1706
2767,2338,1339,234,5406,2363
2056,27,1023,118,3176,67
33,3175,1720,5484,1024,5712
1533,624,1730,3538,1732,829
3357,2468,4265,1706,503,340
1339,4635,5406,4926,4499,3940
325,2338,2614,7457,694,4028
2363,4143,195,2075,234,2539
587,4099,5010,2767,180,1987
829,1720,67,5712,340,3538
1024,33,624,5406,4265,4499
4028,1730,2468,3175,3176,3940
1533,1706,234,694,1339,27
2363,587,4926,325,7457,4099
1023,2539,5484,5010,503,2056
180,3357,195,1732,118,2767
2614,4635,1987,4143,2338,2075
